epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.478,1.37976,2.11008,1.89567,0.59592,0.43372,0.43189,0.18815,2.20478,2.22762,3.17245,0.000369549,0.000369549,0.000369549
2,268.658,1.44674,1.95516,1.9558,0.54185,0.54752,0.55666,0.26784,1.84003,1.90428,2.60529,0.0007396,0.0007396,0.0007396
3,402.671,1.38883,1.78579,1.90339,0.58282,0.48316,0.5478,0.27083,1.85774,2.05185,2.63563,0.00110852,0.00110852,0.00110852
4,536.485,1.34229,1.71749,1.8702,0.60694,0.68311,0.7161,0.34579,1.71826,1.46745,2.49084,0.00110719,0.00110719,0.00110719
5,670.141,1.28361,1.6001,1.81631,0.80414,0.67533,0.79236,0.41614,1.60836,1.28195,2.28124,0.00110423,0.00110423,0.00110423
6,803.733,1.2395,1.47536,1.77449,0.72029,0.68891,0.77248,0.36252,1.70196,1.35817,2.4101,0.00110043,0.00110043,0.00110043
7,937.322,1.20825,1.39445,1.73852,0.77618,0.74204,0.82538,0.4977,1.44802,1.09179,2.08718,0.0010958,0.0010958,0.0010958
8,1071.04,1.17455,1.33495,1.71297,0.79586,0.75912,0.83842,0.47778,1.44069,1.13755,2.0868,0.00109035,0.00109035,0.00109035
9,1204.76,1.14943,1.27251,1.67711,0.84231,0.77675,0.86326,0.52237,1.37388,1.04467,1.97413,0.00108408,0.00108408,0.00108408
10,1338.43,1.13,1.23499,1.666,0.85468,0.79502,0.87516,0.52622,1.39901,0.9664,2.02416,0.00107701,0.00107701,0.00107701
11,1472.15,1.11873,1.20271,1.65308,0.86066,0.80179,0.88396,0.57642,1.27622,0.92609,1.90063,0.00106914,0.00106914,0.00106914
12,1605.82,1.09953,1.17766,1.63587,0.84819,0.75824,0.86683,0.53593,1.35962,0.96316,1.95728,0.00106048,0.00106048,0.00106048
13,1739.04,1.08133,1.12362,1.61268,0.81648,0.83718,0.87988,0.548,1.30854,0.92673,1.97425,0.00105106,0.00105106,0.00105106
14,1872.71,1.07358,1.09031,1.60823,0.7813,0.86191,0.90401,0.57529,1.27451,0.89298,1.85706,0.00104088,0.00104088,0.00104088
15,2006.61,1.06533,1.07432,1.59888,0.88766,0.82625,0.91771,0.58628,1.27705,0.84465,1.87448,0.00102996,0.00102996,0.00102996
16,2140.24,1.03785,1.03822,1.58186,0.86562,0.82279,0.88895,0.55813,1.29147,0.88246,1.90442,0.00101832,0.00101832,0.00101832
17,2274.14,1.04039,0.99177,1.57284,0.86977,0.8495,0.90597,0.57127,1.32568,0.86529,1.95048,0.00100597,0.00100597,0.00100597
18,2407.74,1.03169,0.98628,1.57641,0.88706,0.84595,0.90744,0.60848,1.187,0.80187,1.79298,0.000992936,0.000992936,0.000992936
19,2541.35,1.01916,0.96433,1.56204,0.88535,0.86634,0.92984,0.60936,1.24106,0.79505,1.85042,0.000979236,0.000979236,0.000979236
20,2675.23,1.00654,0.93893,1.54786,0.90809,0.84823,0.91655,0.61075,1.20398,0.79269,1.81392,0.000964892,0.000964892,0.000964892
21,2808.68,1.00239,0.93131,1.53641,0.93013,0.86963,0.9194,0.64118,1.14485,0.74949,1.70237,0.000949925,0.000949925,0.000949925
22,2942.14,0.9774,0.89303,1.5235,0.86427,0.86301,0.918,0.63003,1.16295,0.73853,1.77399,0.000934358,0.000934358,0.000934358
23,3075.75,0.97029,0.87624,1.51495,0.88778,0.84625,0.91378,0.62328,1.1607,0.77682,1.74566,0.000918216,0.000918216,0.000918216
24,3209.11,0.95545,0.84916,1.50375,0.91306,0.83116,0.91356,0.64649,1.08963,0.76513,1.66511,0.000901523,0.000901523,0.000901523
25,3342.58,0.95128,0.85638,1.50165,0.91523,0.86387,0.92799,0.63208,1.17078,0.7715,1.77484,0.000884305,0.000884305,0.000884305
26,3476.35,0.94053,0.84422,1.48132,0.86946,0.85527,0.90858,0.63888,1.10686,0.78,1.66043,0.000866588,0.000866588,0.000866588
27,3609.69,0.95008,0.82081,1.48806,0.87392,0.84458,0.91796,0.64565,1.09489,0.72631,1.70377,0.0008484,0.0008484,0.0008484
28,3744.55,0.93978,0.80884,1.48572,0.8822,0.90108,0.93701,0.65191,1.11198,0.68169,1.70986,0.00082977,0.00082977,0.00082977
29,3878.22,0.92062,0.78012,1.47094,0.89103,0.87895,0.92796,0.65251,1.11269,0.71172,1.69341,0.000810725,0.000810725,0.000810725
30,4011.7,0.91414,0.77869,1.45594,0.90244,0.87918,0.92353,0.65706,1.0803,0.69272,1.6669,0.000791295,0.000791295,0.000791295
31,4145.7,0.8986,0.77167,1.45536,0.87375,0.87164,0.92251,0.64922,1.09151,0.69353,1.66767,0.00077151,0.00077151,0.00077151
32,4279.25,0.88227,0.72624,1.44158,0.89498,0.84308,0.93159,0.66168,1.06503,0.71721,1.65144,0.0007514,0.0007514,0.0007514
33,4413.06,0.8915,0.74531,1.4445,0.90355,0.87937,0.93491,0.66063,1.08904,0.66666,1.70515,0.000730997,0.000730997,0.000730997
34,4546.37,0.88379,0.72534,1.43407,0.91977,0.87023,0.92359,0.6474,1.08406,0.69039,1.7157,0.000710332,0.000710332,0.000710332
35,4679.71,0.87733,0.72311,1.42756,0.88815,0.89688,0.93368,0.67743,1.03907,0.64006,1.63034,0.000689437,0.000689437,0.000689437
36,4813.66,0.86037,0.69702,1.41784,0.88007,0.89993,0.93317,0.65911,1.07366,0.65643,1.66381,0.000668344,0.000668344,0.000668344
37,4946.98,0.87258,0.70626,1.42121,0.90526,0.90519,0.94067,0.64945,1.13607,0.64062,1.72232,0.000647085,0.000647085,0.000647085
38,5080.69,0.84751,0.68165,1.40336,0.89438,0.89387,0.93406,0.66094,1.08121,0.64324,1.68933,0.000625694,0.000625694,0.000625694
39,5214.37,0.83855,0.66657,1.38758,0.90542,0.89798,0.94692,0.67612,1.06202,0.6097,1.67861,0.000604203,0.000604203,0.000604203
40,5348.01,0.84779,0.66502,1.40408,0.88463,0.89634,0.94179,0.67894,1.05622,0.65591,1.62747,0.000582646,0.000582646,0.000582646
41,5481.95,0.82748,0.65339,1.38934,0.92994,0.85154,0.93282,0.67358,1.08828,0.63322,1.65304,0.000561055,0.000561055,0.000561055
