epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.1241,1.28493,2.45104,1.78762,0.7229,0.64178,0.70437,0.36297,1.61285,1.94633,2.30812,0.000369549,0.000369549,0.000369549
2,96.7936,1.26056,1.86502,1.75549,0.66808,0.68629,0.72046,0.36699,1.62348,1.7794,2.40326,0.0007396,0.0007396,0.0007396
3,142.039,1.26284,1.657,1.74971,0.74098,0.61769,0.68247,0.35501,1.58345,1.4987,2.2362,0.00110852,0.00110852,0.00110852
4,186.769,1.2497,1.57946,1.74301,0.65038,0.71341,0.7501,0.38027,1.60418,1.49442,2.30071,0.00110719,0.00110719,0.00110719
5,231.326,1.22968,1.47741,1.71671,0.78508,0.70036,0.79054,0.41666,1.66713,1.35159,2.32647,0.00110423,0.00110423,0.00110423
6,275.854,1.18282,1.36396,1.68535,0.73416,0.77107,0.82864,0.44308,1.5615,1.22341,2.16486,0.00110043,0.00110043,0.00110043
7,320.52,1.16875,1.28898,1.66801,0.80566,0.80587,0.87489,0.5392,1.34308,1.08143,1.92092,0.0010958,0.0010958,0.0010958
8,365.091,1.13827,1.25378,1.63834,0.76124,0.79875,0.84551,0.47056,1.50883,1.14889,2.18967,0.00109035,0.00109035,0.00109035
9,409.818,1.12726,1.23116,1.62414,0.79955,0.77995,0.84773,0.49998,1.42392,1.10135,2.00505,0.00108408,0.00108408,0.00108408
10,454.676,1.09465,1.15699,1.6035,0.83045,0.80098,0.8774,0.52014,1.42815,1.02813,2.01125,0.00107701,0.00107701,0.00107701
11,500.082,1.09391,1.15232,1.59533,0.87268,0.81711,0.88403,0.58545,1.27493,0.97082,1.83268,0.00106914,0.00106914,0.00106914
12,545.666,1.07621,1.1203,1.58608,0.83766,0.87948,0.89226,0.53661,1.39988,0.9517,1.98505,0.00106048,0.00106048,0.00106048
13,591.032,1.06485,1.06999,1.56428,0.83002,0.8182,0.86938,0.52978,1.38289,0.97659,1.99487,0.00105106,0.00105106,0.00105106
14,636.25,1.0668,1.06724,1.56646,0.82434,0.8495,0.90701,0.59357,1.25941,0.90095,1.80849,0.00104088,0.00104088,0.00104088
15,681.6,1.05622,1.01872,1.55449,0.90512,0.8288,0.91865,0.55647,1.35363,0.85868,1.91001,0.00102996,0.00102996,0.00102996
16,726.742,1.02321,1.00404,1.53592,0.89061,0.84454,0.89784,0.56368,1.35238,0.85095,1.9522,0.00101832,0.00101832,0.00101832
17,772.34,1.02878,0.97907,1.52961,0.8424,0.81736,0.88758,0.53498,1.36142,0.95527,1.94523,0.00100597,0.00100597,0.00100597
18,817.807,1.01475,0.95014,1.53472,0.87164,0.83335,0.89709,0.58217,1.23038,0.91586,1.79794,0.000992936,0.000992936,0.000992936
19,863.262,1.01141,0.93024,1.52129,0.87533,0.87133,0.92117,0.61145,1.23214,0.80554,1.80268,0.000979236,0.000979236,0.000979236
20,908.242,0.99662,0.92201,1.51538,0.89284,0.84891,0.90653,0.58922,1.31477,0.82411,1.87621,0.000964892,0.000964892,0.000964892
21,953.567,0.99721,0.90469,1.50506,0.86091,0.82827,0.8976,0.60211,1.22654,0.83363,1.77911,0.000949925,0.000949925,0.000949925
22,999.203,0.97141,0.88363,1.48826,0.89333,0.81259,0.89469,0.61722,1.15727,0.7946,1.71906,0.000934358,0.000934358,0.000934358
23,1044.89,0.97265,0.87269,1.4883,0.91693,0.83751,0.91705,0.60269,1.20928,0.81581,1.79318,0.000918216,0.000918216,0.000918216
24,1090.54,0.95429,0.8474,1.47124,0.90552,0.84684,0.91402,0.63006,1.14507,0.73798,1.72818,0.000901523,0.000901523,0.000901523
