epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.2107,1.35443,2.06232,1.84298,0.66221,0.57132,0.62228,0.30606,1.79293,1.69841,2.46111,0.000369549,0.000369549,0.000369549
2,139.899,1.34737,1.67559,1.82859,0.5852,0.61037,0.61132,0.28498,1.72943,1.65924,2.4616,0.0007396,0.0007396,0.0007396
3,207.703,1.3572,1.65708,1.84154,0.72035,0.66422,0.71629,0.32986,1.835,1.54616,2.55082,0.00110852,0.00110852,0.00110852
4,275.296,1.312,1.6117,1.80949,0.70312,0.67576,0.73748,0.36134,1.74824,1.46709,2.41644,0.00110719,0.00110719,0.00110719
5,343.028,1.26217,1.48334,1.76032,0.76955,0.64315,0.74678,0.38788,1.62659,1.35331,2.30746,0.00110423,0.00110423,0.00110423
6,410.734,1.22295,1.38268,1.72853,0.77299,0.7412,0.81718,0.3917,1.79302,1.2334,2.53969,0.00110043,0.00110043,0.00110043
7,478.282,1.18557,1.31247,1.69253,0.83527,0.74518,0.83565,0.48688,1.40647,1.0995,1.99882,0.0010958,0.0010958,0.0010958
8,545.683,1.16513,1.24147,1.66957,0.87597,0.82827,0.89379,0.48261,1.54553,1.01511,2.23421,0.00109035,0.00109035,0.00109035
9,613.1,1.13581,1.19782,1.64,0.84152,0.75284,0.84971,0.50824,1.44799,1.02892,2.04343,0.00108408,0.00108408,0.00108408
10,680.399,1.11416,1.16001,1.6197,0.87093,0.82795,0.89159,0.5002,1.46573,0.98845,2.10476,0.00107701,0.00107701,0.00107701
11,747.917,1.10734,1.119,1.61163,0.84603,0.83034,0.88369,0.56106,1.32274,0.92026,1.90773,0.00106914,0.00106914,0.00106914
12,815.514,1.08586,1.11302,1.60064,0.86428,0.80021,0.874,0.48261,1.51714,0.99166,2.1802,0.00106048,0.00106048,0.00106048
13,883.196,1.07185,1.04696,1.57214,0.82978,0.81961,0.87908,0.54111,1.33197,0.9175,1.92216,0.00105106,0.00105106,0.00105106
14,950.717,1.07623,1.04315,1.57624,0.84937,0.82938,0.90734,0.57756,1.27793,0.84965,1.81724,0.00104088,0.00104088,0.00104088
15,1018.27,1.05566,0.99716,1.56072,0.85961,0.84079,0.89443,0.56754,1.31749,0.88204,1.88667,0.00102996,0.00102996,0.00102996
